<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<MA_8>,<MA_16>,<turn 8 5 3 6 0 False>,<turn 8 3 3 6 0 False>,<turn 16 8 8 0 10 False>,<MA_12>,<turn 12 5 3 6 0 False>,<turn 12 3 3 6 0 False>,<turn 8 5 3 6 10.0 False>,<turn 8 3 3 6 10.0 False>,<turn 12 5 3 6 10.0 False>,<turn 12 3 3 6 10.0 False>,<turn 16 5 3 6 10.0 False>,<turn 16 3 3 6 10.0 False>
2008-01-29 16:00:00,95.5954,96.2031,94.9876,96.0879,103062.0,95.17623,94.82405,0.0,0.0,0.0,94.9535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-29 20:00:00,96.0879,96.8213,96.025,96.6851,11252.0,95.34942,94.94363,0.0,0.0,0.0,95.08193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 00:00:00,96.9471,96.9576,96.6746,96.7899,2649.0,95.59073000000001,95.10705,0.0,0.0,0.0,95.2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 04:00:00,96.7899,96.8213,96.52799999999999,96.6118,1354.0,95.95369000000001,95.35700000000001,0.0,0.0,0.0,95.58101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 08:00:00,96.6118,97.0309,96.2974,96.7166,9660.0,96.19119,95.56756,0.0,0.0,0.0,95.83947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 12:00:00,96.7166,96.8842,95.7001,96.2031,152973.0,96.34634,95.73846,0.0,0.0,0.0,96.03682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 16:00:00,96.1926,96.7899,95.5954,96.6956,112089.0,96.48984,95.90626999999999,0.0,0.0,0.0,96.21818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30 20:00:00,96.6956,96.9785,95.5639,95.5954,8877.0,96.47993000000001,95.99988,0.0,0.0,0.0,96.27889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31 00:00:00,95.5954,95.6373,95.1448,95.4172,3564.0,96.55677,96.14326,96.55677,96.55677,96.14326,96.38488,96.38488,96.38488,96.55677,96.55677,96.38488,96.38488,96.14326,96.14326
2008-01-31 04:00:00,95.4277,95.6163,95.302,95.4906,1707.0,96.36583,96.13856,0.0,0.0,0.0,96.30308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31 08:00:00,95.4906,95.9621,95.4068,95.7316,5845.0,96.13763,96.10319,0.0,0.0,0.0,96.19238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31 12:00:00,95.7316,95.8888,93.8664,94.3275,112381.0,95.94174,96.06174,0.0,0.0,0.0,96.09082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31 16:00:00,94.31700000000001,96.7061,94.1389,95.9412,322318.0,95.83986999999999,96.03539,0.0,0.0,0.0,96.02378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31 20:00:00,95.9412,96.0983,95.4591,95.522,3885.0,95.45304,95.83908000000001,0.0,0.0,0.0,95.74073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01 00:00:00,95.522,95.522,94.9771,95.3858,1703.0,95.49089000000001,95.84147,0.0,0.0,0.0,95.72394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01 04:00:00,95.3858,95.5325,95.2181,95.522,1030.0,95.45711999999999,95.79046,0.0,0.0,0.0,95.64454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01 08:00:00,95.522,96.2031,95.2915,96.1926,5917.0,95.41171,95.72173000000001,0.0,0.0,0.0,95.56246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
